,mean,argument_order,argument_content,template,adjacent_tasks
EuroLLM-1.7B-Instruct,96.4,99.7,99.8,96.9,89.1
Llama-3.1-8B-Instruct,87.2,98.4,85.8,88.2,76.5
Llama-3.2-3B-Instruct,77.4,89.9,66.0,78.8,74.9
Qwen2.5-1.5B-Instruct,84.4,96.3,75.5,85.0,80.9
Qwen2.5-3B-Instruct,75.6,84.3,65.2,76.4,76.6
SmolLM2-1.7B-Instruct,82.6,87.5,66.5,89.5,86.7
SmolLM2-360M-Instruct,94.8,99.7,97.4,95.2,86.8
ZharfaOpen-0309,82.0,89.9,78.8,81.4,77.7
gemma-3-1b,76.7,71.0,67.7,85.9,82.1
gemma-3-4b,81.8,84.0,77.5,84.5,81.2
salamandra-2b-instruct,96.3,95.1,98.8,95.5,95.9
